name,lat,lon
La Mussolera - La Gravera,42.12765,1.8493667
Font Negra - Roc de l'Alou,42.1121333,1.826825
Font Negra - Can Meu,42.1124583,1.8279639
Font Negra - Can Maurí,42.117275,1.8312194
Font Negra - Coll de Vilaformiu,42.1174361,1.8387417
Font Negra - Mercadal Superior,42.1126556,1.8389972
Font Negra - Mercadal Inferior,42.1122083,1.837875 
Font Negra - Cal Nebots,42.1118372,1.8353659
Queralt - Pàrquing,42.1081722,1.8261891
Queralt - Drecera de Queralt,42.1079667,1.8309667
Queralt - Font del Bou,42.1071667,1.8249944
Queralt - Mirador de Garreta,42.1062564,1.8227515
Queralt - La Vinya,42.1048556,1.8265944
Queralt - Garreta,42.1047444,1.815725
Queralt - Roc Negre,42.1017944,1.8084141
Cinglera dels Esqueis - Corbera,42.1244028,1.8101611
Cinglera dels Esqueis - Racó Tranquil,42.1294028,1.8061752
Cinglera dels Esqueis - L'Estany,42.1295111,1.8112583
Cinglera dels Esqueis - L'Arcada i el Gendarme,42.1305743,1.8187402
Cinglera dels Esqueis - L'Amfiteatre,42.1309139,1.8181474
Cinglera dels Esqueis - Can Guies,42.1315259,1.8231897
Cinglera dels Esqueis - Can Placa,42.1320944,1.8219252
Cinglera dels Esqueis - Casanova,42.1338944,1.8291472
Font Freda - Font Freda (Oest),42.1097583,1.8066583
Font Freda - Font Freda (Est),42.1097389,1.8068528
Font Freda - El Dau,42.1106972,1.8083861
Rasos de Peguera - Torrent dels Porxos,42.128426,1.7645207
Rasos de Peguera - Carboneres,42.1301128,1.7680703
Rasos de Peguera - Can Tronco,42.1272917,1.7703861
Rasos de Peguera - El Sectoret i el Rusc,42.135133,1.7715723
Rasos de Peguera - Les Agulles,42.134025,1.7716972
Rasos de Peguera - El Corral,42.14835,1.76635
Coforb - Ca n'Hug,42.0945917,1.8120194
Coforb - Serrapinyana,42.0764314,1.7936175
Taravil - La Placeta (1),42.0725333,1.7380111
Taravil - La Placeta (3),42.0735267,1.7386436
Taravil - La Terrassa,42.068056,1.7273544
Taravil - El Mal Pas,42.0709028,1.7205806
Taravil - Balcó de Santaïna (Sota),42.070573,1.7172229
Taravil - Balcó de Santaïna (Sobre),42.0710637,1.7164163
Taravil - Cal Molsa (1),42.0697694,1.7004641
Taravil - Cal Molsa (2). El Nas,42.0697694,1.7004641
Taravil - Tossal de Trasserra,42.0857333,1.7326639
Castell de Roset - La Masó,42.1480722,1.9181861
Castell de Roset - Roset,42.1502225,1.9181921
Castell de Roset - Can Marieta,42.150106,1.916164
Castell de Roset - Els Forats,42.1549212,1.9134219
Castell de Roset - Totxo de Picamill,42.1542323,1.9049992
Sant Romà de la Clusa - L'Hereuet,42.18515,1.9280806
Sant Romà de la Clusa - Rossinyol,42.1839583,1.9262889
Sant Romà de la Clusa - Quart Minvant,42.1812917,1.9243472
Sant Romà de la Clusa - Quart Creixent,42.1806833,1.9240889
Sant Romà de la Clusa - La Talaia,42.1736722,1.9194389
Sant Romà de la Clusa - Els Racons,42.1743111,1.9194611
Sant Romà de la Clusa - Can Fàcil,42.1722194,1.9188222
Sant Romà de la Clusa - La Dent,42.1695401,1.9177303
Rotgers - Roquetes,42.1578583,1.9831667
Picancel - Serrat dels Teixons,42.1212917,1.9656389
La Nou de Berguedà - El Santuari,42.1623306,1.8841778
La Nou de Berguedà - Aguda Gran,42.174081,1.898259
La Nou de Berguedà - Aguda Petita,42.1736496,1.897354
Malanyeu - Cingles de Malanyeu,42.2057972,1.8909833
Malanyeu - Paret del Devesó,42.2018528,1.8944778
Malanyeu - Taules de la Llei,42.2020083,1.8952583
Malanyeu - La Quinta Forca,42.2022222,1.8967083
Malanyeu - La Pona,42.2032088,1.9036839
Fígols - Grau de la Mola,42.1847944,1.8265056
Fígols - Grau dels Boigs,42.1885639,1.8411722
Vallcebre - La Foradada,42.2133056,1.8291611
Vallcebre - Grau de Granoteres,42.2116444,1.8411444
Vallcebre - Grau de Sant Climents,42.2102878,1.847384
Sant Julià de Cerdanyola - Les Esposes,42.226575,1.8871306
Sant Julià de Cerdanyola - El Forcat,42.2276127,1.8886491
Roc de la Lluna - Joc de Pilota,42.2172556,1.9646083
Roc de la Lluna - Flor de Neu,42.2133944,1.9585222
Riugréixer - Riugréixer (Oest),42.2718694,1.8510083
Riugréixer - Riugréixer (Est),42.2718556,1.8506528
