name,lat,lon
Camarasa - La Blanca / Sector Emotion / Kuestelon la France,41.9005556,0.8861111
Camarasa - Marcant Estil / San Juan / La Font,41.9016667,0.8880555
Camarasa - Paret dels Heretges / El Perrancot / La Pera / Cingle de la Llum / Capricho del Vicho / Sector Dexter / Sector Fashion / La Selva,41.905,0.8902777
Camarasa - El Puro / El Balcó del Mu,41.9058333,0.891666
Camarasa - Crestes de Conill (S),41.8766667,0.8741666
Camarasa - Crestes de Conill (N),41.8830556,0.8752777
Camarasa - La Cova de L'Escaleta / El Solarium / El Túnel (L'Aiguabarreig) / Sector Mongetae,41.9102778,0.885555
St. Llorenç de Montgai - La Formiguera / Balcó de Sant Llorenç / Agulla de L'Isard / Disblia / El Cilindre / Xinxetes / Mordor/Clasificado "S",41.8727778,0.8438888
St. Llorenç de Montgai - Esperó Remacha / Paret de l'Os,41.874291,0.846890
St. Llorenç de Montgai - Kurtika,41.8716667,0.8586111
St. Llorenç de Montgai - Font del Gat / Sector Transparet,41.8688889,0.8638888
Cubells - For Fred / Foradat / Duc / Placa Gran / Braille / Petit,41.87,0.9819444
Alòs de Belaguer - El Balcó del Segre,41.9086111,0.9952777
Alòs de Belaguer - L'Estret,41.9102778,0.991111
Alòs de Belaguer - Barranc de Sant Martí,41.928885,0.943713
Alòs de Belaguer - Cal Cari,41.9119444,0.953333
Alòs de Belaguer - El Racó del Segre,41.9105556,0.9236111
La Pauta - Antepauta,41.9483333,1.010555
La Pauta - La Pauta,41.9594444,0.999722
Santa Ana - Escaleras al Cielo / El Sendero / Placa Vermella/L'Esperó / Paret del Vent / Exploradors / Agulles Sud,41.8780556,0.578888
Santa Ana - Agulles Nord,41.8803976,0.5798855
Os de Belaguer - Tot un Plaer / Fligght to Africa / Sostre Vilars / Aida / La Guineueta / Rai Lay / L'Heretge / Ryobi,41.8738889,0.7127777
Tartareu - Tempura / Bombó Suís / Ànima Negra / La Cara de La Mort,41.9280556,0.7141666
Tartareu - Cavall de Troia / Tocho Mocho / L'Obsessió de Tibar,41.930319,0.713766
Tartareu - Lolo Decotón / Jet Lag / Guacamole,41.9327778,0.7130555
Santa Linya - Futbolín,41.9230556,0.7805555
Santa Linya - Cova Gran,41.9241667,0.804444
Santa Linya - Barranc de Fontfreda,41.9280556,0.8208333
Àger - Camp 300,42.0394444,0.745
Àger - Barranc de Grillons,42.0272222,0.7563888
Terradets - Els Isards,42.0352778,0.883888
Terradets - La Pizarra / Si Fas Free no Fa Fred / Clot Fondo,42.039171,0.884697
Terradets - Sector Regina,42.0458333,0.8925
Terradets - Paret de les Bruixes,42.048133,0.892588
Terradets - Clot de Miquí (El Doll),41.9502778,0.8613888
Vilanova de Meià - Parets de la Font de L'Hedra,42.005,1.03
Vilanova de Meià - Paret de Les Cabres,42.0197222,1.030833
Vilanova de Meià - El Contrafort,42.022448,1.034809
Vilanova de Meià - L'Anticúpula / Amatista / La Cúpula,42.0266667,1.033888
Abella de La Conca - Les Ajagudes / Mur Blau / Sector Voltor / Altiplano,42.16,1.088611
Abella de La Conca - El Congost,42.165,1.058333
Abella de La Conca - El Canyon,42.1605556,1.094444
Abella de La Conca - Font de les Gotes,42.159287,1.098411
Abella de La Conca - Panorama / Lo Morral,42.1622222,1.0969444
Abella de La Conca - L'Església / Pirámide / Sector Ferrata / Forat dels Lladres,42.161373,1.091962
Abella de La Conca - La Costera,42.162379,1.093980
Collegats - Sector Cine / Gramuntill,42.2636111,1.0133333
Collegats - Cal Nica / La Terrasseta / La Pedrera,42.2711111,1.0277777
Collegats - L'Argenteria / El Niu / El Primer Vol / Sector Thai,42.3002778,1.035000
Collegats - La Costoia,42.3458333,1.0680555
Collegats - La Panotxa,42.3163889,0.935555
Collegats - Can Paulet,42.3394444,0.9219444
Oliana - Contrafort de Rumbau,42.0763889,1.2880555
Oliana - Sector Rams,42.1172222,1.3036111
Oliana - L'Obaga Negra,42.1325,1.3097222
Coll de Nargó - Bel Canto / Sector Dipòsit / Sector dels Isards / Sector D'Abaix,42.1755556,1.3138888
Coll de Nargó - Paret del Grau / Els Gegants / Castellasos / Coll Piqué / Samarkanda / Del Mig,42.1772222,1.3052777
Coll de Nargó - (4x4) - Uriundu / Tranquil,42.1780556,1.2930555
Coll de Nargó - La Ola,42.1708333,1.18527777
Perles - Agulla de l'Alba / Roc d'en Solà / Roc d'en Betriu / Pont de l'Arc/Cristina / Sector dels Roures,42.1788889,1.3930555
Canelles - Sector Safari / L'Espluga de Cels,42.1838889,1.3677777
Fígols - Fígols a l'Ombra / El Sòcol de Narieda,42.2,1.3405555
Fígols - Cova Camí d'en Pep,42.1927778,1.335
Fígols - Cova de les Gralles / Can Sisa,42.1861111,1.3316666
Fígols - Sector Xapat,42.2041667,1.353333
Tres Ponts - Bon Combat / El Balcó dels Tres Ponts / Main Sector/Sector Principal / La Fontanella Est / La Fontanella,42.2505556,1.3480555
Cavallers - El Antro,42.5836111,0.854166
Cavallers - Drinking / Placa Xalmet / Afrikan Wall / La Kanalla / Escaleras / El Casco / Plaka Tuka / Pas de L'Os / Pared Inerte,42.584613,0.855120
La Cova de Juncosa,41.3777778,0.7544444
